"bldrgstPk","bldNm","sggNm","bjdongNm","beonji","regstrKindNm","mainPurpsNm","strctNm","totarea","flrCnt","platArea","archArea","bcRat","vlRat","etcStrct","etcRoof","pmsDay","stcnsDay","useaprDay"
"11710-100480363","더블유123","송파구","송파동","32-2","일반건축물","업무시설","철근콘크리트구조","2586.87","8/2","481.7","288.7","59.93","399.81","철근콘크리트구조","(철근)콘크리트","20141028","20150429","20160601"
"11710-24827",,"송파구","송파동","32-3","일반건축물","근린생활시설","철근콘크리트구조","1328.96","5/1","398.7","237.63","59.6","258.37","철근콘크리트조, 세멘벽돌조","평스라브","19881020","198810","19890729"
"11710-11927","1","송파구","송파동","32-7","일반건축물","제2종근린생활시설,업무시설","철근콘크리트구조","1388.02","8/1","294.6","176.38","59.87","399.62","철근콘크리트구조","(철근)콘크리트","20030623","20040317","20050127"
"11710-406","호수 임광 아파트","송파구","송파동","33","총괄표제부","공동주택",,"29105.21","/",,,,,,,,,
"11710-406","호수 임광 아파트","송파구","송파동","33","총괄표제부","공동주택",,"29105.21","/",,,,,,,,,
"11710-406","호수 임광 아파트","송파구","송파동","33","총괄표제부","공동주택",,"29105.21","/",,,,,,,,,
"11710-6240",,"송파구","송파동","34","일반건축물","노유자시설(노인시설)","벽돌구조","108.58","2/0","1469.7","56.29","0","0","연와조","평스라브","19920108","19921202","19930531"
"11710-20876",,"송파구","송파동","36","표제부","공동주택","철근콘크리트구조","462.92","5/0","186.52","111.87","59.98","248.19","철근콘크리트구조","평스라브","20020503","20030320","20030808"
"11710-5522",,"송파구","송파동","36-1","일반건축물","다가구주택(9가구)","철근콘크리트구조","504.44","4/1","364.5","199.82","54.82","0","철근콘크리트조","아스팔트슁글","19941020","19941110","19950506"
"11710-100560022",,"송파구","송파동","36-2","표제부","공동주택","철근콘크리트구조","415.94","5/0","232.7","139.6","59.99","178.75","철근콘크리트구조","(철근)콘크리트","20210416","20210510","20211112"
"11710-100459689",,"송파구","송파동","36-3","표제부","공동주택","철근콘크리트구조","549.09","5/0","302.2","179.93","59.54","181.7","철근콘크리트구조","평스라브","20120525","20130413","20131231"
"11710-22283",,"송파구","송파동","36-4","일반건축물","다가구주택(7가구)","철근콘크리트구조","647.92","3/1","306.6","183.32","59.8","160.36","철근콘크리트조","스라브","19960628","19970409","19970909"
"11710-20689","만복운집","송파구","송파동","36-5","표제부","공동주택(다세대주택)","철근콘크리트구조","526.59","5/0","216.3","129","59.64","243.45","철근콘크리트구조","(철근)콘크리트,평스라브","20030522","20030628","20040708"
"11710-100468482",,"송파구","송파동","36-7","표제부","공동주택(다세대주택)","철근콘크리트구조","599.59","5/0","300.3","178.92","59.58","199.66","철근콘크리트구조","평스라브","20141120","20141126","20150506"
"11710-100512057",,"송파구","송파동","36-8","표제부","다세대주택","철근콘크리트구조","425.086","5/0","212.6","121.519","57.159","199.946","철근콘크리트구조","평지붕","20170306","20170331","20171208"
"11710-16177","효성그린빌","송파구","송파동","36-11","표제부","공동주택","철근콘크리트구조","488.07","5/0","231.4","138.76","59.97","210.92","철근콘크리트구조","평스라브","20020305","20020713","20021125"
"11710-24868",,"송파구","송파동","36-12","일반건축물","제2종근린생활시설, 주택(1가구)","철근콘크리트구조","490.58","3/1","228","136.72","59.96","152","철근콘크리트조","평슬라브","19960105","19960304","19960716"
"11710-100471102",,"송파구","송파동","36-13","표제부","다세대주택(11세대)","철근콘크리트구조","409.79","5/0","206.4","123.62","59.89","198.54","철근콘크리트구조","(철근)콘크리트","20140416","20150304","20150722"
"11710-7050",,"송파구","송파동","36-16","표제부","공동주택","철근콘크리트구조","427.55","5/0","186.7","112","59.99","229","철근콘크리트구조","평스라브","20030528","20030609","20031013"
"11710-100483463","예송힐","송파구","송파동","36-17","표제부","근린생활시설 및 다세대주택","철근콘크리트구조","374.15","5/0","187.4","112.15","59.85","199.65","철근콘크리트구조","평스라브","20150707","20160222","20160823"
"11710-100478110","에비뉴빌","송파구","송파동","36-19","표제부","도시형생활주택(단지형다세대)","철근콘크리트구조","425.64","6/0","216.3","129.69","59.96","196.78","철근콘크리트구조","평지붕","20150721","20150831","20160307"
"11710-100532402","2 레이크사이드","송파구","송파동","36-21","표제부","다세대주택","철근콘크리트구조","339.16","5/0","173.2","103.6","59.82","195.82","철근콘크리트구조","평슬라브","20190521","20190612","20200220"
"11710-8485",,"송파구","송파동","37","표제부","공동주택(다세대주택)","철근콘크리트구조","412.63","5/0","167.3","99.52","59.48","246.64","철근콘크리트구조","평스라브","20020621","20020624","20021218"
"11710-17776",,"송파구","송파동","37-1","일반건축물","다가구용단독주택(8가구)","벽돌구조","412.22","3/1","179.5","107.38","59.82","172.06","철근콘크리트조,","평슬라브","19960725","19970325","19971029"
"11710-3922",,"송파구","송파동","37-2","표제부","공동주택,근린생활시설","철근콘크리트구조","889.69","6/0","297.4","168","56.49","299.16","철근콘크리트구조","평스라브","20020424","20031107","20040518"
"11710-100243066",,"송파구","송파동","37-3","표제부","공동주택(다세대주택)","철근콘크리트구조","459.23","5/0","211.5","126.26","59.697399","217.13","철근콘크리트구조","평슬래브","20120224","20120306","20120802"
"11710-100563922",,"송파구","송파동","37-4","일반건축물","제2종근린생활시설,다가구주택","철근콘크리트구조","489.57","5/1","197.9","118.56","59.9","185.67","철근콘크리트구조","(철근)콘크리트","20201202","20210511","20220324"
"11710-24710",,"송파구","송파동","37-5","일반건축물","단독주택","벽돌구조","240.8","2/1","0","0","0","0","연와조","경사스라브위기와","19850327",,"19850722"
"11710-20981","보물창고","송파구","송파동","37-6","일반건축물","제1종근린생활시설","일반철골구조","173.88","2/0","165.2","86.94","52.63","105.25","일반철골구조","샌드위치판넬","20040714","20040802","20041231"
"11710-100228153",,"송파구","송파동","37-7","표제부","다세대주택","철근콘크리트구조","332.56","5/0","165.3","97.92","59.24","201.18","철근콘크리트구조","평슬라브","20090929","20091005","20100111"
"11710-10472",,"송파구","송파동","37-8","일반건축물","다가구주택(12가구)","철근콘크리트구조","388.94","3/1","175.6","105.27","59.95","163.73","철근콘크리트조,","평스라브","19950519","19950610","19951010"
"11710-24842",,"송파구","송파동","37-9","일반건축물","다가구용단독주택(8가구)","벽돌구조","399.68","3/1","174.1","104.12","59.8","172.06","철근콘크리트조,","평슬라브","19960725","19970325","19971029"
"11710-10969",,"송파구","송파동","37-10","표제부","공동주택","철근콘크리트구조","434.89","5/0","182.4","119.78","65.67","238.43","철근콘크리트구조","경사스라브","20020822","20021014","20030221"
"11710-14982",,"송파구","송파동","37-11","일반건축물","근린생활시설,다가구주택(3가구)","철근콘크리트구조","916.01","6/1","251.5","150.51","59.84","299.31","철근콘크리트구조","평스라브","20011217","20030130","20031009"
"11710-15828",,"송파구","송파동","37-12","표제부","공동주택(다세대주택)","철근콘크리트구조","539.07","5/0","244.9","144.39","58.96","220.12","철근콘크리트구조","(철근)콘크리트","20060126","20070214","20070626"
"11710-8128",,"송파구","송파동","37-13","표제부","공동주택","철근콘크리트구조","614.58","5/0","256.2","153.1","59.75","239.88","철근콘크리트구조","평스라브","20020620","20020708","20030117"
"11710-17814",,"송파구","송파동","37-14","표제부","공동주택","철근콘크리트구조","641.5","5/0","257.9","153.81","59.63","248.74","철근콘크리트구조","평스라브","20020621","20020708","20030117"
"11710-23420","호수아파트","송파구","송파동","38","표제부","근린생활시설및아파트","철근콘크리트구조","1162.56","6/0","388.4","222.94","57.39","299.32","철근콘크리트조","평스라브","20000726","20000817","20001214"
"11710-100236871","숨결","송파구","송파동","38-1","표제부","다세대주택","철근콘크리트구조","627.34","6/0","283.2","162.72","57.46","221.52","철근콘크리트구조","평스라브","20100830","20110210","20110728"
"11710-7092",,"송파구","송파동","38-2","일반건축물","다가구용단독주택(10가구)","철근콘크리트구조","422.61","3/1","196.7","117.34","59.65","163.3","철근콘크리트조,","평스라브","19930602","19930623","19931209"
"11710-23632",,"송파구","송파동","38-3","일반건축물","근린생활시설(소매점), 단독주택","벽돌구조","289.8","2/1","0","0","0","0","연와조","평스라브","19830330",,"19830711"
"11710-100230206",,"송파구","송파동","38-4","표제부","다세대주택","철근콘크리트구조","557.57","5/0","238.9","143.13","59.91","233.39","철근콘크리트조","평스라브","20100219","20100304","20100728"
"11710-100241966",,"송파구","송파동","38-5","표제부","다세대주택","철근콘크리트구조","528.81","5/0","236.7","141.56","59.81","223.41","철근콘크리트구조","평스라브","20111222","20120130","20120615"
"11710-100538022","잠실파크타운","송파구","송파동","38-6","표제부","도시형생활주택 및 근린생활시설","철근콘크리트구조","566.25","6/1","241.3","143.35","59.41","191.75","철근콘크리트구조","(철근)콘크리트","20190313","20190821","20201030"
"11710-18833",,"송파구","송파동","38-7","표제부","공동주택","철근콘크리트구조","475.54","5/0","236.3","140.95","59.65","201.24","철근콘크리트구조","평슬라브","20020513","20020617","20030102"
"11710-12342",,"송파구","송파동","38-8","일반건축물","다가구주택(9가구)","철근콘크리트구조","422.04","4/0","248.7","149.2","59.99","169.69","철근콘크리트구조","경사슬라브","20010720","20020712","20030124"
"11710-5288",,"송파구","송파동","38-9","표제부","공동주택(다세대주택)","철근콘크리트구조","395.55","5/0","198.4","104.47","52.65","199.36","철근콘크리트구조","철근콘크리트평스라브","20040325","20040524","20041011"
"11710-4427",,"송파구","송파동","38-10","표제부","공동주택(다세대주택)","철근콘크리트구조","474.96","6/0","198.5","118.68","59.79","239.27","철근콘크리트구조","평스라브","20020527","20020620","20021203"
"11710-3676",,"송파구","송파동","38-11","표제부","공동주택","철근콘크리트구조","523.65","5/0","234.6","139.7","59.55","223.21","철근콘크리트조","평스라브","20010918","20011016","20020423"
"11710-100232298",,"송파구","송파동","38-12","표제부","공동주택(다세대주택)","철근콘크리트구조","513.56","6/0","208.3","124.16","59.61","246.55","철근콘크리트구조","(평스라브)","20100624","20100707","20101231"
"11710-25246",,"송파구","송파동","39","표제부","공동주택(다세대주택)","철근콘크리트구조","373.08","5/0","165.7","99.04","59.77","225.15","철근콘크리트구조","(철근)콘크리트","20050614","20060214","20060707"
"11710-11095",,"송파구","송파동","39-1","일반건축물","다가구용단독주택(10가구)","철근콘크리트구조","582.94","3/1","272.8","150.8","55.27","158.4","철근콘크리트조","평스라브","19971011","19971013","19971229"
"11710-22225",,"송파구","송파동","39-2","표제부","다세대주택(9세대)","철근콘크리트구조","477.3","4/1","208.6","118.5","56.8","119.88","벽체식라멘조","평스라브","19930109",,"19931207"
"11710-16719",,"송파구","송파동","39-3","일반건축물","근린생활시설, 주택","철근콘크리트구조","735","4/1","0","0","0","0","철근콘크리트구조","평스라브","19871014",,"19880401"
"11710-18924",,"송파구","송파동","39-4","일반건축물","다가구용단독주택(7가구)","철근콘크리트구조","404.12","3/1","180.1","107.9","59.91","167.75","철근콘크리트조","평스라브","19960826","19970523","19970904"
"11710-100453655","런던빌","송파구","송파동","39-8","표제부","다세대주택(7세대)","철근콘크리트구조","519.98","5/0","262.9","157.16","59.78","197.79","철근콘크리트구조","평스라브","20130213","20130306","20130805"
"11710-16294",,"송파구","송파동","39-9","일반건축물","근린생활시설, 다가구주택(5가구)","철근콘크리트구조","669.17","5/1","205.3","122.08","59.46","263.77","철근콘크리트조","평스라브","20000420","20000515","20001010"
