"bldrgstPk","bldNm","sggNm","bjdongNm","beonji","regstrKindNm","mainPurpsNm","strctNm","totarea","flrCnt","platArea","archArea","bcRat","vlRat","etcStrct","etcRoof","pmsDay","stcnsDay","useaprDay"
"11710-100446966","LG하이프라자","송파구","송파동","7","일반건축물","판매시설 외1","일반철골구조","2181.96","5/0","886.3","527.82","59.55","208.08","일반철골구조","평지붕","20120913","20120920","20130206"
"11710-16142","잠실 아르누보 팰리스","송파구","송파동","7-1","표제부","공동주택(근린생활시설)","철근콘크리트구조","15148.03","20/3","2395.3","802.62","33.51","399.73","철근콘크리트구조","철근콘크리트, 평슬라브","20050331","20050512","20071126"
"11710-13290","선일타워","송파구","송파동","7-4","일반건축물","교육연구시설 외2","철근콘크리트구조","2233.41","5/2","589.9","309.21","52.42","240.38","철근콘크리트구조","스라브","19871211",,"19881231"
"11710-13433",,"송파구","송파동","7-7","일반건축물","제1종근린생활시설 외 1","철근콘크리트구조","1040.21","6/1","316.4","155.99","49.3","239.78","철근콘크리트구조 외 1","박공지붕","19930707","199308","19940602"
"11710-21931","보명빌딩","송파구","송파동","7-8","일반건축물","업무시설,근린생활시설","철근콘크리트구조","2072.36","6/1","440.3","292.73","66.48","384.62","철근콘크리트라멘조","평슬라브","19930802","19931019","19840825"
"11710-21183",,"송파구","송파동","7-12","일반건축물","근린생활시설","철근콘크리트구조","1573.83","6/1","394.5","223.97","56.77","323.96","철근콘크리트조","평스라브","19930217","19930909","19940607"
"11710-15200","산동빌딩","송파구","송파동","8","일반건축물","근린생활시설, 주택","철근콘크리트구조","680.21","4/1","0","0","0","0","철근콘크리트조, 세멘벽돌조","평스라브","19880505",,"19880919"
"11710-11001",,"송파구","송파동","8-1","일반건축물","단독주택","벽돌구조","366.58","3/1","0","0","0","0","벽돌구조","평슬라브","19870909",,"19880427"
"11710-16113",,"송파구","송파동","8-2","일반건축물","근린생활시설","철근콘크리트구조","1408.47","6/1","384","198.02","51.57","291.99","철근콘크리트","평스라브","19920415","199205","19921230"
"11710-100473736",,"송파구","송파동","8-3","일반건축물","제2종근린생활시설","일반철골구조","838.5","3/0","525.7","310.83","59.13","159.5","일반철골구조","(철근)콘크리트","20150724","20150810","20151120"
"11710-14834",,"송파구","송파동","8-4","일반건축물","근린생활시설","철근콘크리트구조","415.76","4/1","165.3","82.47","49.89","179.26","철근콘크리트조","평스라브","19910514","19910609","19911026"
"11710-100563723",,"송파구","송파동","8-5","일반건축물","다가구주택,근린생활시설","철근콘크리트구조","373.65","4/0","198.4","118.85","59.9042","188.3316","철근콘크리트구조","(철근)콘크리트","20210416","20210712","20220314"
"11710-18252",,"송파구","송파동","8-6","일반건축물","다가구주택(6가구) 외2","철근콘크리트구조","489.98","5/1","215.2","107.01","49.73","198.14","철근콘크리트구조 외1","(철근)콘크리트평지붕","19901226","1991010","19910704"
"11710-10011",,"송파구","송파동","8-7","일반건축물","주택","벽돌구조","355.22","3/1","0","0","0","0","벽돌구조","평스라브","19861202",,"19870417"
"11710-3765",,"송파구","송파동","8-8","일반건축물","단독주택외1","벽돌구조","433.36","4/1","186.59","93.24","49.97","168.19","철근콘크리트조, 세멘벽돌조","스라브","19860703",,"19861013"
"11710-4082",,"송파구","송파동","8-9","일반건축물","단독주택","벽돌구조","355.22","3/1","186.5","91","48.79","139.05","벽돌구조","스라브","19860701",,"19861008"
"11710-5386",,"송파구","송파동","8-10","일반건축물","근린생활시설, 주택","철근콘크리트구조","493.65","3/1","264.4","0","0","0","철근콘크리트조, 연와조","평스라브","19860703",,"19861007"
"11710-21907",,"송파구","송파동","8-11","일반건축물","근린생활시설, 주택","철근콘크리트구조","415.26","4/1","0","0","0","0","철근콘크리트조, 세멘벽돌조","평스라브","19880402",,"19880808"
"11710-23368",,"송파구","송파동","8-12","일반건축물","다가구주택(13가구)","철근콘크리트구조","408","3/1","198.9","119.1","59.88","150.91","철근콘크리트조","경사스라브,","19950613","19950630","19960228"
"11710-21172",,"송파구","송파동","8-13","일반건축물","근린생활시설외1","철근콘크리트구조","860.58","4/1","363.8","177.48","48.78","187.76","철근콘크리트조","평스라브","19901229","19901229","19901229"
"11710-9048",,"송파구","송파동","8-17","일반건축물","다가구주택(13가구)","철근콘크리트구조","408","3/1","198.8","119.1","59.91","150.99","철근콘크리트조","경사스라브,","19950613","19950630","19960419"
"11710-25338",,"송파구","송파동","9","일반건축물","다가구주택 외 2","철근콘크리트구조","465.72","4/1","201.5","98.91","49.08","173.08","철근콘크리트구조 외 1","평스라브","19870903",,"19871231"
"11710-23121",,"송파구","송파동","9-1","표제부","공동주택(다세대주택)","철근콘크리트구조","464.55","5/0","204.8","126.11","61.58","226.83","철근콘크리트구조","(철근)콘크리트,평스라브","20030614","20030721","20040630"
"11710-100476058",,"송파구","송파동","9-2","표제부","다세대주택","철근콘크리트구조","342.87","5/0","180.7","108.24","59.9","189.75","철근콘크리트구조","평슬라브","20150611","20150810","20160120"
"11710-9886",,"송파구","송파동","9-3","일반건축물","근린생활시설, 주택","철근콘크리트구조","298.65","3/1","0","0","0","0","철근콘크리트조, 세멘벽돌조","평스라브","19880427",,"19881205"
"11710-8738",,"송파구","송파동","9-4","표제부","공동주택","철근콘크리트구조","492.15","5/0","214.8","128.25","59.7","229.12","철근콘크리트구조","평스라브","20030626","20030628","20040506"
"11710-15147",,"송파구","송파동","9-5","표제부","공동주택","철근콘크리트구조","496.75","5/0","214.8","128.16","59.66","231.26","철근콘크리트구조","평스라브","20020507","20020521","20021108"
"11710-17694",,"송파구","송파동","9-6","일반건축물","다가구주택(14가구)","철근콘크리트구조","500.01","3/1","214.8","126.96","59.11","177.32","철근콘크리트조","평스라브","19950728","19950916","19960516"
"11710-7491",,"송파구","송파동","9-7","일반건축물","다가구용주택(14가구)","철근콘크리트구조","496.8","3/1","214.8","127.1","59.17","173.46","철근콘크리트조,","평스라브","19960701","19960827","19970531"
"11710-19011",,"송파구","송파동","9-8","표제부","공동주택","철근콘크리트구조","549.36","5/0","214.9","152.88","71.14","255.64","철근콘크리트구조","판넬구조","20020121","20020614","20020916"
"11710-16429",,"송파구","송파동","9-9","일반건축물","근린생활시설, 주택","철근콘크리트구조","661.5","3/1","0","0","0","0","철근콘크리트구조","평스라브","19860217",,"19860723"
"11710-17217",,"송파구","송파동","9-10","일반건축물","근린생활시설, 다가구주택","철근콘크리트구조","715.19","5/1","246.9","147.14","59.59","284.81","철근콘크리트조","평스라브","20010302","20010725","20011226"
"11710-15965",,"송파구","송파동","9-11","표제부","다세대주택","철근콘크리트구조","435.8","5/0","204.9","122.84","59.95","212.68","철근콘크리트조","경사 슬라브","20010703","20010922","20020116"
"11710-7152",,"송파구","송파동","9-12","일반건축물","다가구주택(8가구)","철근콘크리트구조","447.04","3/1","204.9","122.9","59.98","159.58","철근콘크리트조,","평스라브","19930602","19940304","19940723"
"11710-100492473",,"송파구","송파동","9-13","표제부","다세대주택","철근콘크리트구조","392.61","5/0","205","122.4","59.71","191.52","철근콘크리트구조","평슬라브","20140122","20160120","20161011"
"11710-7453",,"송파구","송파동","9-14","일반건축물","단독주택","벽돌구조","273.6","2/1","0","0","0","0","연와조","경사스라브","19821103",,"19830428"
"11710-14532",,"송파구","송파동","9-15","표제부","다세대주택","벽돌구조","299.75","2/1","0","0","0","0","연와조","평스라브","19860508",,"19860926"
"11710-15458",,"송파구","송파동","9-16","표제부","공동주택","철근콘크리트구조","464.19","6/0","181.9","109.04","59.95","255.19","철근콘크리트구조","평스라브","20020403","20030617","20040102"
"11710-100460886","마이크로 하우징","송파구","송파동","9-17","표제부","다세대주택(도시형생활주택원룸형)","일반철골구조","523","6/1","204.1","120.93","59.25","198.05","일반철골구조","평지붕","20130206","20130510","20140414"
"11710-18775",,"송파구","송파동","9-18","일반건축물","근린생활시설, 주택","벽돌구조","399.28","4/1","0","0","0","0","철근콘크리트조, 세멘벽돌조","평스라브","19870904",,"19871226"
"11710-405",,"송파구","송파동","10","총괄표제부","다세대주택",,"1262.09","/",,,,,,,,,
"11710-405",,"송파구","송파동","10","총괄표제부","다세대주택",,"1262.09","/",,,,,,,,,
"11710-100517601","지건","송파구","송파동","10-1","표제부","다세대주택 및 근린생활시설","철근콘크리트구조","598.31","5/0","301.7","177.46","58.82","198.31","철근콘크리트구조","평스라브","20170915","20170922","20180509"
"11710-100517601","지건","송파구","송파동","10-1","표제부","다세대주택 및 근린생활시설","철근콘크리트구조","598.31","5/0","301.7","177.46","58.82","198.31","철근콘크리트구조","평스라브","20170915","20170922","20180509"
"11710-23375","화인빌라","송파구","송파동","10-2","표제부","공동주택","철근콘크리트구조","436.57","5/0","188.4","112.27","59.59","231.73","철근콘크리트구조","평스라브","20020115","20030224","20030816"
"11710-10463",,"송파구","송파동","10-4","표제부","공동주택","철근콘크리트구조","649.96","5/0","280.9","167.28","59.55","231.38","철근콘크리트조","평스라브","20010817","20020228","20020704"
"11710-18537","골드빌","송파구","송파동","10-5","표제부","공동주택","철근콘크리트구조","386.64","5/0","188.4","112.6","59.77","205.22","철근콘크리트구조","평스라브","20020115","20030224","20030818"
"11710-11412",,"송파구","송파동","10-6","표제부","공동주택(다세대주택)","철근콘크리트구조","398.47","5/0","188.4","122.04","64.78","211.5","철근콘크리트구조","평스라브","20020313","20030615","20031002"
"11710-22853","티에스티빌딩","송파구","송파동","10-7","일반건축물","근린생활시설, 다가구주택","철근콘크리트구조","555.29","4/1","226.3","112.37","49.65","188.94","철근콘크리트조, 세멘벽돌조, 연와조","평스라브","19860721",,"19861031"
"11710-17508",,"송파구","송파동","10-8","표제부","다세대주택","벽돌구조","303.92","2/1","0","0","0","0","연와조","경사스라브위기와","19880506",,"19880919"
"11710-100237677","한스빌","송파구","송파동","10-9","표제부","공동주택","철근콘크리트구조","369.48","5/0","185.1","110.43","59.66","199.61","철근콘크리트구조","평스라브","20110420","20110429","20110927"
"11710-100227073","한솔","송파구","송파동","10-10","표제부","다세대주택","철근콘크리트구조","369.17","5/0","185.1","110.88","59.9","199.44","철근콘크리트구조","(철근)콘크리트","20090205","20090323","20090805"
"11710-8337",,"송파구","송파동","10-11","표제부","다세대주택, 제2종근린생활시설","철근콘크리트구조","497.03","5/0","185","110.29","59.62","240.04","철근콘크리트조","평스라브","20000705","20000727","20001021"
"11710-15397",,"송파구","송파동","10-12","일반건축물","다가구용단독주택(11가구)","철근콘크리트구조","419.7","3/1","185.1","110.76","59.84","172.04","철근콘크리트조","평스라브","19960309","19960610","19961122"
"11710-9991",,"송파구","송파동","10-13","표제부","다세대주택","철근콘크리트구조","395.05","5/0","185.1","110.56","59.73","213.43","철근콘크리트조","평스라브","20010803","20010825","20020105"
"11710-100461022",,"송파구","송파동","10-14","표제부","공동주택","철근콘크리트구조","372.81","5/0","191.8","114.84","59.87","194.37","철근콘크리트구조","(철근)콘크리트","20130816","20130822","20140428"
"11710-100465144",,"송파구","송파동","10-15","표제부","다세대주택","철근콘크리트구조","372.88","5/0","191.8","114.81","59.86","194.41","철근콘크리트구조","평스라브","20140807","20140822","20141124"
"11710-100245726",,"송파구","송파동","10-16","표제부","공동주택(도시형생활주택)","철근콘크리트구조","429.52","5/0","191.8","114.91","59.91","223.94","철근콘크리트구조","(철근)콘크리트","20111221","20120615","20121112"
"11710-9510",,"송파구","송파동","10-17","일반건축물","단독주택","벽돌구조","249.81","2/1","191.65","0","0","0","연와조","경사스라브위기와","19860522",,"19860812"
"11710-22139","초원빌","송파구","송파동","10-18","표제부","공동주택(다세대주택)","철근콘크리트구조","474.46","5/0","191.7","116.81","60.93","247.5","철근콘크리트구조","평스라브","20020115","20030214","20030816"
"11710-9830",,"송파구","송파동","11","표제부","연립주택","철근콘크리트구조","2836.77","4/1","953.1","567.47","59.53","218.43","철근콘크리트조","아스팔트싱글","19920624","19920704","19930529"
"11710-13567",,"송파구","송파동","11-1","표제부","근린생활시설","철근콘크리트구조","787.52","5/1","0","0","0","0","철근콘크리트구조외1","평스라브","19870724",,"19871228"
"11710-5550",,"송파구","송파동","11-2","일반건축물","제2종근린생활시설외1","철근콘크리트구조","671.77","4/1","261","153.3","58.74","199.95","철근콘크리트구조","(철근)콘크리트, 평스라브","20030908","20040312","20040921"
"11710-100485423",,"송파구","송파동","11-3","표제부","다세대주택","철근콘크리트구조","457.64","5/0","231.5","138.24","59.71","197.68","철근콘크리트구조","(철근)콘크리트","20150922","20160308","20160909"
"11710-100536082",,"송파구","송파동","11-4","표제부","도시형생활주택","철근콘크리트구조","506.97","5/1","241.4","144.82","59.99","190.93","철근콘크리트구조","평슬래브","20191001","20191127","20200728"
"11710-14843",,"송파구","송파동","11-5","일반건축물","단독주택","벽돌구조","306.82","2/1","0","0","0","0","연와조","경사스라브위기와","19890125",,"19890417"
"11710-100231726","띠아모빌","송파구","송파동","11-6","표제부","다세대주택","철근콘크리트구조","520.82","5/0","243.6","148.71","61.05","213.8","철근콘크리트구조","(철근)콘크리트","20100624","20100630","20101125"
"11710-4788",,"송파구","송파동","11-7","일반건축물","다가구주택(11가구)","철근콘크리트구조","493.73","3/1","231.4","135.63","58.61","161.54","철근콘크리트조,","평스라브","19960119","19960523","19961115"
"11710-11468",,"송파구","송파동","11-8","표제부","공동주택(다세대주택)","철근콘크리트구조","405.97","5/0","183.5","109.2","59.51","221.24","철근콘크리트구조","철근콘크리트 평스라브","20030805","20040429","20041018"
"11710-19832",,"송파구","송파동","11-9","표제부","공동주택(다세대주택)","철근콘크리트구조","499.3","6/0","181.9","123.25","67.76","274.49","철근콘크리트구조","평스라브","20010406","20020814","20030130"
"11710-13885",,"송파구","송파동","11-11","일반건축물","단독주택","벽돌구조","249.9","2/1","181.8","0","0","0","연와조","경사스라브위기와","19840914",,"19841122"
"11710-100245886",,"송파구","송파동","11-12","표제부","공동주택","철근콘크리트구조","424.31","6/0","215.6","126.69","58.76","196.8","철근콘크리트구조","스라브","20120515","20120611","20121120"
"11710-100555762","제이블레스","송파구","송파동","11-13","표제부","다세대주택 및 근린생활시설","철근콘크리트구조","432.41","5/0","220.3","131.93","59.89","196.28","철근콘크리트구조","(철근)콘크리트","20200501","20200813","20210705"
"11710-5160",,"송파구","송파동","11-14","표제부","다세대주택(9세대)","철근콘크리트구조","597.92","4/1","245.1","136.06","55.51","194.38","철근콘크리트조,","평스라브","19930521","19930612","19931118"
"11710-16349",,"송파구","송파동","12","표제부","다세대주택","철근콘크리트구조","394.02","4/0","211.55","123.48","58.36","186.25","철근콘크리트조","평스라브","20010621","20010702","20011105"
"11710-17898",,"송파구","송파동","12-1","표제부","다세대주택(9세대)","철근콘크리트구조","597.64","4/1","261.8","147.76","56.44","202.51","철근콘크리트조,","평스라브","19930306","19930313","19931026"
"11710-100453947","엘에이치송파도시형생활주택","송파구","송파동","12-2","표제부","공동주택(도시형생활주택)외1","철근콘크리트구조","853.27","5/0","464.1","245.84","52.97","183.85","철근콘크리트구조","(철근)콘크리트평지붕","20111122","20120120","20130820"
"11710-100241366",,"송파구","송파동","12-3","일반건축물","근린생활시설 외 1","철근콘크리트구조","883.49","5/1","330.6","141.2","42.71","199.3","철근콘크리트구조","평슬라브","20110419","20110607","20120423"
"11710-100447806","ACE HOUSE","송파구","송파동","12-4","표제부","공동주택(도시형생활주택)","철근콘크리트구조","436.42","5/0","219.3","130.32","59.43","199.01","철근콘크리트구조","평슬라브","20120924","20121004","20130411"
"11710-9491",,"송파구","송파동","12-5","일반건축물","근린생활시설, 단독주택","벽돌구조","678.02","4/1","274.07","136.95","49.96","193.4","철근콘크리트조, 세멘벽돌조","평슬라브","19871014",,"19880209"
"11710-9032",,"송파구","송파동","12-6","일반건축물","근린생활시설","벽돌구조","259.91","2/1","0","0","0","0","연와조","경사스라브위기와","19830826",,"19831203"
"11710-11647",,"송파구","송파동","12-7","일반건축물","단독주택","벽돌구조","249.87","2/1","185.3","87.33","47.13","87.72","연와조","경사스라브위기와","19870610","19870613","19870905"
"11710-100528662",,"송파구","송파동","12-8","표제부","근린생활시설및다세대주택","철근콘크리트구조","361.94","5/0","185.3","110.39","59.57","195.33","철근콘크리트구조","평지붕","20190104","20190325","20190807"
"11710-100528662",,"송파구","송파동","12-8","표제부","근린생활시설및다세대주택","철근콘크리트구조","361.94","5/0","185.3","110.39","59.57","195.33","철근콘크리트구조","평지붕","20190104","20190325","20190807"
"11710-100505321",,"송파구","송파동","12-9","표제부","도시형생활주택(단지형다세대)","철근콘크리트구조","582.08","6/1","280.9","166.37","59.23","199.79","철근콘크리트구조","평지붕","20160721","20160901","20170913"
"11710-100559922","송파파크빌Ⅰ","송파구","송파동","12-10","표제부","다세대주택","철근콘크리트구조","461.96","5/0","231","137.94","59.71","199.98","철근콘크리트구조","(철근)콘크리트","20210426","20210601","20211028"
"11710-16295",,"송파구","송파동","12-11","일반건축물","다가구용단독주택(6가구)","벽돌구조","312.83","2/1","231","115.09","49.82","85.6","연와조","평스라브","19900306","19900730","19901011"
"11710-18273",,"송파구","송파동","12-12","표제부","다세대주택(10가구)","철근콘크리트구조","588.25","4/1","0","0","0","0","철근콘크리트조,연와조","연와조","19910618","19920414","19921010"
"11710-100242986",,"송파구","송파동","12-13","표제부","공동주택(다세대주택)","철근콘크리트구조","465.77","5/0","219.2","131.1","59.81","212.49","철근콘크리트구조","평지붕","20120217","20120308","20120730"
"11710-19304",,"송파구","송파동","12-14","일반건축물","단독주택","벽돌구조","248.8","2/1","184.82","88.91","48.1","87.03","연와조","경사스라브위기와","19870530","19870604","19871015"
"11710-13940",,"송파구","송파동","12-16","표제부","다세대주택(9세대)","철근콘크리트구조","597.64","4/1","261.6","147.76","56.48","202.66","철근콘크리트조,","평스라브","19921226","19930325","19931029"
"11710-17091",,"송파구","송파동","12-17","표제부","다세대주택(9세대)","철근콘크리트구조","597.64","4/1","261.6","147.76","56.48","202.66","철근콘크리트,","평스라브","19930306","199303","19931118"
"11710-11337",,"송파구","송파동","13","일반건축물","주택,","철근콘크리트구조","401.1","3/1","0","0","0","0","철근콘크리트조,","평스라브","19861014",,"19870107"
"11710-15547",,"송파구","송파동","13-1","표제부","공동주택(다세대주택)","철근콘크리트구조","522.14","5/0","241.4","143.23","59.33","216.3","철근콘크리트구조","(철근)콘크리트,평스라브","20021021","20040225","20040702"
"11710-14829","행복에버빌","송파구","송파동","13-2","표제부","공동주택(다세대주택)","철근콘크리트구조","395.6","5/0","182.1","108.39","59.52","217.24","철근콘크리트구조","(철근)콘크리트,평스라브","20030610","20030629","20040709"
"11710-10629",,"송파구","송파동","13-3","일반건축물","다가구용단독주택(7가구)","철근콘크리트구조","418","3/1","181.8","109","59.96","170.41","철근콘크리트조","평스라브","19960924","19961014","19970206"
"11710-9384",,"송파구","송파동","13-4","일반건축물","근린생활시설, 다가구주택","철근콘크리트구조","682.63","4/1","282.1","140.7","49.87","192.1","철근콘크리트조, 세멘벽돌조","평스라브","19870321",,"19870729"
"11710-18171","로즈빌","송파구","송파동","13-5","표제부","공동주택","철근콘크리트구조","634.12","5/0","279.5","182.51","65.3","226.88","철근콘크리트구조","기타지붕(판넬)","20020125","20020822","20030225"
"11710-19663","레이크하우스","송파구","송파동","13-6","표제부","공동주택(다세대주택)","철근콘크리트구조","444.11","5/0","223.6","133.96","59.91","198.62","철근콘크리트구조","(철근)콘크리트,평스라브","20031224","20040228","20040909"
"11710-13650",,"송파구","송파동","13-7","표제부","공동주택","철근콘크리트구조","511.56","5/0","244.9","146.86","59.96","208.88","철근콘크리트구조","평스라브","20020916","20021116","20030509"
"11710-100237597",,"송파구","송파동","13-8","표제부","다세대주택","철근콘크리트구조","374.11","6/0","171.8","102.24","59.51","217.76","철근콘크리트조","평슬라브","20110131","20110321","20110923"
"11710-19113",,"송파구","송파동","13-9","일반건축물","다가구용단독주택(7가구)","철근콘크리트구조","419.88","3/1","181.2","108.4","59.82","174.6","철근콘크리트조","평스라브","19960914","19961028","19970517"
"11710-12600",,"송파구","송파동","13-10","표제부","공동주택","철근콘크리트구조","467.41","5/0","212.7","127.52","59.95","219.75","철근콘크리트구조","평스라브","20010710","20020310","20020916"
"11710-8925",,"송파구","송파동","13-13","일반건축물","다가구용단독주택(8가구)","철근콘크리트구조","415.05","3/1","181.1","108.36","59.83","169.34","철근콘크리트조","평스라브","19960620","19970401","19970913"
"11710-15234",,"송파구","송파동","13-14","일반건축물","단독주택","벽돌구조","297.31","2/1","0","0","0","0","연와조","경사스라브위기와","19880527",,"19880819"
"11710-22498",,"송파구","송파동","13-15","일반건축물","제1종근린생활시설외 2","철근콘크리트구조","539.76","3/1","244.9","146.69","59.9","155.04","철근콘크리트조","평스라브","19890314",,"19890824"
"11710-11076",,"송파구","송파동","13-16","표제부","다세대주택","철근콘크리트구조","596.08","4/1","244.9","141.3","57.69","191.56","철근콘크리트조","경사스라브위아스팔트싱글","19920420","199206","19921209"
"11710-17874","원일 주택","송파구","송파동","13-17","일반건축물","다가구주택(7가구)","철근콘크리트구조","327.65","4/0","182.2","109.27","59.97","179.83","철근콘크리트구조","(철근)콘크리트,평스라브","20030612","20031128","20040629"
"11710-23764",,"송파구","송파동","13-18","일반건축물","근린생활시설, 주택","철근콘크리트구조","509.13","5/1","182.7","91.18","49.9","229.25","철근콘크리트조,","평지붕","19910626","199206","19921105"
"11710-100540262",,"송파구","송파동","13-19","표제부","다세대주택 및 근린생활시설","철근콘크리트구조","356.45","5/0","189.6","113.76","60","188","철근콘크리트구조","(철근)콘크리트","20200327","20200511","20210114"
"11710-7168",,"송파구","송파동","13-20","표제부","공동주택(다세대주택)","철근콘크리트구조","479.67","6/0","198.2","118.8","59.94","242.01","철근콘크리트구조","평스라브","20030530","20030628","20040127"
"11710-24696",,"송파구","송파동","13-22","일반건축물","단독주택","벽돌구조","246.48","2/1","0","0","0","0","연와조","경사스라브위기와","19890204",,"19890812"
"11710-13979","갑오빌라트","송파구","송파동","14","표제부","공동주택","철근콘크리트구조","841.88","6/1","315","187.96","59.67","244.29","철근콘크리트구조","평지붕","20030212","20030220","20031218"
"11710-10133",,"송파구","송파동","14-1","표제부","공동주택","철근콘크리트구조","444.13","5/0","198.3","118.95","59.98","223.96","철근콘크리트구조","평슬라브","20020827","20020924","20030104"
"11710-6068",,"송파구","송파동","14-2","표제부","다세대주택","철근콘크리트구조","673.45","6/0","264.1","164.85","62.42","255","철근콘크리트조","평스라브","20010607","20010616","20011108"
"11710-8538","우정빌딩","송파구","송파동","14-3","일반건축물","제2종근린생활시설외2","철근콘크리트구조","861.84","6/0","284.3","169.75","59.7","298.83","철근콘크리트구조","(철근)콘크리트 평스라브","20021015","20030628","20051206"
"11710-5486",,"송파구","송파동","14-4","일반건축물","제2종근린생활시설외1","철근콘크리트구조","495.24","5/1","195","110.4","56.62","199.97","철근콘크리트구조","(철근)콘크리트","20040311","20040402","20040823"
"11710-10755",,"송파구","송파동","14-5","일반건축물","제1종근린생활시설외1","벽돌구조","339.99","2/1","0","0","0","0","연와조","평스라브","19830228",,"19830601"
"11710-15465","공간아트빌","송파구","송파동","14-6","표제부","다세대주택","철근콘크리트구조","659.06","5/0","284","170.12","59.9","232.06","철근콘크리트조","철근콘크리트평슬라브","20010404","20010414","20010820"
"11710-19333",,"송파구","송파동","14-7","일반건축물","다가구용단독주택(14가구)","철근콘크리트구조","659.89","3/1","284","169.27","59.6","175.55","철근콘크리트조","평스라브","19960621","19961021","19980331"
"11710-100460103",,"송파구","송파동","14-8","표제부","(도시형생활주택)","철근콘크리트구조","428.75","5/0","214.8","128.48","59.81","199.6","철근콘크리트구조","(철근)콘크리트","20120719","20121231","20140122"
"11710-14338",,"송파구","송파동","14-9","일반건축물","다가구주택(10가구)","철근콘크리트구조","530.43","3/1","226.7","134.04","59.12","175.69","철근콘크리트조","평스라브","19960423","19960509","19961023"
"11710-12656",,"송파구","송파동","14-10","표제부","공동주택","철근콘크리트구조","385.29","5/0","195","116.48","59.73","197.58","철근콘크리트구조","(철근)콘크리트,평스라브","20020115","20030507","20030926"
"11710-7978","아트하우스","송파구","송파동","14-11","표제부","공동주택","철근콘크리트구조","376.03","5/0","194.8","115.67","59.38","193.03","철근콘크리트구조","평스라브","20020412","20030528","20031022"
"11710-6126",,"송파구","송파동","14-12","표제부","공동주택","철근콘크리트구조","372.13","5/0","194.9","114.85","58.92","190.93","철근콘크리트구조","평스라브","20030620","20030628","20040615"
"11710-4670",,"송파구","송파동","14-13","표제부","공동주택","철근콘크리트구조","373.17","5/0","194.9","116.04","59.54","191.47","철근콘크리트구조","(철근)콘크리트","20020511","20040217","20040615"
"11710-12929","아트하우스","송파구","송파동","14-14","표제부","공동주택","철근콘크리트구조","378.7","5/0","195","116.53","59.76","194.21","철근콘크리트구조","평스라브","20020707","20030613","20031201"
"11710-6594",,"송파구","송파동","14-15","표제부","공동주택","철근콘크리트구조","455.92","5/0","194.8","116.1","59.6","193.82","철근콘크리트구조","평스라브","20010802","20030611","20031203"
"11710-21404",,"송파구","송파동","14-16","표제부","공동주택(다세대주택)","철근콘크리트구조","435.07","5/0","194.9","120.88","62.02","223.23","철근콘크리트구조","(철근)콘크리트,평스라브","20030613","20030623","20040806"
"11710-13039",,"송파구","송파동","14-17","표제부","공동주택(다세대주택)","철근콘크리트구조","402.38","5/0","194.8","126.5","64.94","206.56","철근콘크리트구조","(철근)콘크리트,평스라브","20031113","20040130","20040623"
"11710-5188",,"송파구","송파동","14-18","일반건축물","근린생활시설, 다가구주택(4가구)","철근콘크리트구조","921.9","6/1","263.9","157.2","59.56","297.65","철근콘크리트조","평스라브","19971101","19980402","19990105"
"11710-23980",,"송파구","송파동","14-19","표제부","공동주택","철근콘크리트구조","460.02","5/0","198.2","117.71","59.39","232.1","철근콘크리트구조","평슬라브","20020813","20020817","20030121"
"11710-21435",,"송파구","송파동","15","일반건축물","제1종근린생활시설, 제2종근린생활시설","철근콘크리트구조","1207.23","4/1","595.8","283.14","47.52","177.83","철근콘크리트조, 경량철골조, 철골조","평슬라브","19911221","199202","19920901"
"11710-10712","OUTBACK 송파점","송파구","송파동","15-1","일반건축물","제2종근린생활시설        (일반음식점)","일반철골구조","968.87","4/0","630.8","340.28","53.94","153.59","일반철골구조","기타지붕","20030626","20040113","20040608"
"11710-22800",,"송파구","송파동","15-2","일반건축물","근린생활시설","철근콘크리트구조","1311.63","4/1","0","0","0","0","철근콘크리트조","평스라브",,,"19781229"
"11710-22661",,"송파구","송파동","15-3","일반건축물","근린생활시설","철근콘크리트구조","1254.79","4/1","573.06","284.86","49.7","169.25","철근콘크리트조","평스라브",,,"19830219"
"11710-10921",,"송파구","송파동","15-4","일반건축물","근린생활시설","철근콘크리트구조","823.37","3/1","374.2","213.39","57.02","161.96","철근콘크리트조","스라브",,,"19770907"
"11710-100235342","허니빌딩","송파구","송파동","15-5","일반건축물","제2종근린생활시설 외1","철근콘크리트구조","349.8","6/0","163.7","61","37.26","204.01","철근콘크리트구조","평스라브","20051219","20071215","20110418"
"11710-9277","엘지하이프라자","송파구","송파동","15-6","일반건축물","제1종근린생활시설","일반철골구조","601.44","3/0","464","230.4","49.66","129.62","일반철골구조","기타지붕, 경사지붕","20040510","20040520","20040630"
"11710-6892",,"송파구","송파동","15-7","일반건축물","근린생활시설","철근콘크리트구조","432","3/1","0","0","0","0","철근콘크리트조","스라브","19840920",,"19850313"
"11710-15601",,"송파구","송파동","15-8","일반건축물","근린생활시설,","철근콘크리트구조","1223.04","7/1","299","165.94","55.5","344.74","철근콘크리트조","평스라브",,,"19920114"
"11710-7320","가락신협","송파구","송파동","15-9","일반건축물","제2종근린생활시설 외1","철근콘크리트구조","458.89","4/0","260.7","120.56","46.24","176.02","철근콘크리트구조","(철근)콘크리트","20060710","20060808","20061228"
